Element Structure Energy (eV/atom) a (A)  b (A)   c (A)
H	hcp	-1.117	3.900	3.900	6.356
He	fcc	-0.0400	4.430	4.430	4.430
Li	bcc	-1.9040	3.427	3.427	3.427
Be	hcp	-3.7390	2.260	2.260	3.570
B	hcp	-6.0980	2.876	2.876	1.782
C	hcp	-4.6950	2.154	2.154	3.524
N	hcp	-4.7060	2.519	2.519	2.446
O	sc	-4.8000	3.43	3.43	3.43
F	sc	-2.7000	3.00	3.00	3.00
Ne	sc	-0.0400	4.43	4.43	4.43
Na	bcc	-1.1300	4.173	4.173	4.173
Mg	hcp	-1.5910	3.203	3.203	5.127
Al	fcc	-3.7460	4.039	4.039	4.039
Si	dia	-5.4200	5.43	5.43	5.430
P	bcc	-4.6498	3.076	3.076	3.076
S	hcp	-3.2938	3.365	3.365	3.516
Cl	sc	-2.5000	3.60	3.60	3.60
Ar	fcc	-0.0800	5.260	5.260	5.260
K	bcc	-1.0810	4.758	4.758	7.587
Ca	fcc	-1.9990	5.507	5.507	5.507
Sc	hcp	-6.3325	3.319	3.319	5.178
Ti	hcp	-7.8911	2.934	2.934	4.657
V	bcc	-9.0824	2.993	2.993	2.993
Cr	bcc	-9.6530	3.621	3.621	3.621
Mn	bcc	-9.0166	2.799	2.799	2.799
Fe	bcc	-8.4693	2.840	2.840	2.840
Co	hcp	-7.1083	2.501	2.501	4.033
Ni	fcc	-5.7798	3.506	3.506	3.506
Cu	fcc	-4.0992	3.621	3.621	3.621
Zn	hcp	-1.2595	2.627	2.627	5.207
Ga	dia	-2.8112	4.510	4.510	4.510
Ge	dia	-4.6103	5.660	5.660	5.660
As	bcc	-4.2373	3.368	3.368	3.368
Se	hcp	-3.1648	3.666	3.666	3.846
Br	bcc	-1.0074	3.761	3.761	3.761
Kr	fcc	-0.1000	5.720	5.720	5.720
Rb	bcc	-0.9713	5.644	5.644	5.644
Sr	fcc	-1.6831	6.023	6.023	6.023
Y	hcp	-6.4629	3.659	3.659	5.666
Zr	hcp	-8.5477	3.239	3.239	5.172
Nb	bcc	-10.1013	3.321	3.321	3.321
Mo	bcc	-10.8456	3.168	3.168	3.168
Tc	hcp	-10.3606	2.761	2.761	4.421
Ru	hcp	-9.2744	2.733	2.733	4.314
Rh	fcc	-7.3385	3.844	3.844	3.844
Pd	fcc	-5.1765	3.957	3.957	3.957
Ag	fcc	-2.8289	4.161	4.161	4.161
Cd	hcp	-0.9062	3.008	3.008	5.942
In 	hcp	-2.7040	3.423	3.423	5.576
Sn	bcc	-3.9353	3.809	3.809	3.809
Sb	bcc	-3.8905	3.785	3.785	3.785
Te	hcp	-2.9830	4.088	4.088	4.362
I	fcc	-1.0702	5.195	5.195	5.195
Xe	fcc	-0.1200	6.200	6.200	6.200
Cs	bcc	-0.8566	6.110	6.110	6.110
Ba	bcc	-1.9190	5.030	5.030	5.030
La	hcp	-4.8817	3.753	3.753	7.352
Ce	fcc	-5.9315	4.720	4.720	4.720
Pr	dhcp	-4.90012	3.670	3.670	11.990
Nd	dhcp	-4.95034	3.660	3.660	11.950
Pm	dhcp	-5.00028	3.640	3.640	11.890
Sm	dhcp	-5.10041	3.620	3.620	11.820
Eu	bcc	-10.207	4.639	4.639	4.639
Gd	hcp	-14.076	3.614	3.614	5.770
Tb	hcp	-4.6155	3.640	3.640	5.664
Dy	hcp	-4.5873	3.627	3.627	5.616
Ho	hcp	-4.5683	3.609	3.609	5.578
Er	hcp	-4.5574	3.587	3.587	5.546
Tm	hcp	-4.4722	3.563	3.563	5.513
Yb	fcc	-1.5368	5.449	5.449	5.449
Lu	hcp	-4.5210	3.525	3.525	5.471
Hf	hcp	-9.9572	3.198	3.198	5.075
Ta	bcc	-11.8578	3.322	3.322	3.322
W	bcc	-12.9581	3.187	3.187	3.187
Re	hcp	-12.4445	2.781	2.781	4.497
Os	hcp	-11.2273	2.759	2.759	4.357
Ir	fcc	-8.8384	3.876	3.876	3.876
Pt	fcc	-6.0709	3.977	3.977	3.977
Au	fcc	-3.2739	4.171	4.171	4.171
Hg	hcp	-0.3036	3.580	3.580	5.735
Tl	hcp	-2.3587	3.549	3.549	5.738
Pb	fcc	-3.7126	5.051	5.051	5.051
Bi	bcc	-3.7507	3.988	3.988	3.988
Po	sc	-4.6500	3.36	3.36	3.36
At	sc	-4.9000	3.36	3.36	3.36
Rn	sc	-0.1400	6.40	6.40	6.40
Fr	bcc	-2.7500	6.05	6.05	6.05
Ra	bcc	-3.0000	6.05	6.05	6.05
Ac	fcc	-4.1008	5.662	5.662	5.662
Th	fcc	-7.4139	5.041	5.041	5.041
Pa	hcp	-9.3927	3.190	3.190	5.685
U	fcc	-10.919	4.432	4.432	4.432
Np	fcc	-12.0606	4.353	4.353	4.353
Pu	fcc	-13.9906	4.788	4.788	4.788
Am	dhcp	-8.7000	3.52	3.52	11.50
Cm	dhcp	-8.9000	3.50	3.50	11.43
Bk	dhcp	-9.1000	3.48	3.48	11.37
Cf	dhcp	-9.3000	3.46	3.46	11.30
Es	dhcp	-9.5000	3.44	3.44	11.23
Fm	dhcp	-9.7000	3.42	3.42	11.17
Md	dhcp	-9.9000	3.40	3.40	11.10
No	dhcp	-10.1000	3.38	3.38	11.04
Lr	dhcp	-10.3000	3.36	3.36	10.97
