Element	Structure	Energy (eV/atom)	a (A)	b (A)	c (A)	MagInit
H	hcp	-1.2489.E+01	3.900	3.900	6.356	0.01
He	fcc	-7.8726.E+01	4.430	4.430	4.430	0.01
Li	bcc	-2.0279.E+02	3.427	3.427	3.427	0.01
Be	hcp	-8.9036.E+01	2.260	2.260	3.570	0.01
B	hcp	-1.4922.E+02	2.876	2.876	1.782	0.01
C	hcp	-2.4172.E+02	2.154	2.154	3.524	0.01
N	hcp	-3.7563.E+02	2.519	2.519	2.446	0.01
O	sc	-5.5998.E+02	3.430	3.430	3.430	0.01
F	sc	-8.0379.E+02	3.000	3.000	3.000	0.01
Ne	sc	-1.1160.E+03	4.430	4.430	4.430	0.01
Na	bcc	-1.4852.E+03	4.173	4.173	4.173	0.01
Mg	hcp	-1.9224.E+03	3.203	3.203	5.127	0.01
Al	fcc	-5.3372.E+02	4.039	4.039	4.039	0.01
Si	dia	-6.3034.E+02	5.430	5.430	5.430	0.01
P	bcc	-7.5025.E+02	3.076	3.076	3.076	0.01
S	hcp	-8.9788.E+02	3.365	3.365	3.516	0.01
Cl	sc	-1.0776.E+03	3.600	3.600	3.600	0.01
Ar	fcc	-1.2937.E+03	5.260	5.260	5.260	0.01
K	bcc	-1.5366.E+03	4.758	4.758	7.587	0.01
Ca	fcc	-1.8148.E+03	5.507	5.507	5.507	0.01
Sc	hcp	-2.1310.E+03	3.319	3.319	5.178	0.4
Ti	hcp	-2.4927.E+03	2.934	2.934	4.657	0.4
V	bcc	-2.9037.E+03	2.993	2.993	2.993	-0.4
Cr	bcc	-3.3679.E+03	3.621	3.621	3.621	-0.4
Mn	bcc	-3.8890.E+03	2.799	2.799	2.799	-0.4
Fe	bcc	-4.4709.E+03	2.840	2.840	2.840	0.6
Co	hcp	-5.1174.E+03	2.501	2.501	4.033	0.6
Ni	fcc	-5.8321.E+03	3.506	3.506	3.506	0.6
Cu	fcc	-2.8950.E+03	3.621	3.621	3.621	0.01
Zn	hcp	-3.3120.E+03	2.627	2.627	5.207	0.01
Ga	dia	-3.7785.E+03	4.510	4.510	4.510	0.01
Ge	dia	-4.2887.E+03	5.660	5.660	5.660	0.01
As	bcc	-2.3899.E+03	3.368	3.368	3.368	0.01
Se	hcp	-5.4635.E+03	3.666	3.666	3.846	0.01
Br	bcc	-6.1331.E+03	3.761	3.761	3.761	0.01
Kr	fcc	-6.8608.E+03	5.720	5.720	5.720	0.01
Rb	bcc	-3.2634.E+03	5.644	5.644	5.644	0.01
Sr	fcc	-3.5393.E+03	6.023	6.023	6.023	0.01
Y	hcp	-3.8405.E+03	3.659	3.659	5.666	0.01
Zr	hcp	-4.1726.E+03	3.239	3.239	5.172	0.01
Nb	bcc	-4.5384.E+03	3.321	3.321	3.321	0.01
Mo	bcc	-4.9403.E+03	3.168	3.168	3.168	0.01
Tc	hcp	-5.3808.E+03	2.761	2.761	4.421	0.01
Ru	hcp	-5.8624.E+03	2.733	2.733	4.314	0.01
Rh	fcc	-6.3874.E+03	3.844	3.844	3.844	0.01
Pd	fcc	-4.4994.E+03	3.957	3.957	3.957	0.01
Ag	fcc	-4.8298.E+03	4.161	4.161	4.161	0.01
Cd	hcp	-5.1884.E+03	3.008	3.008	5.942	0.01
In 	hcp	-5.5864.E+03	3.423	3.423	5.576	0.01
Sn	bcc	-6.0108.E+03	3.809	3.809	3.809	0.01
Sb	bcc	-4.7261.E+03	3.785	3.785	3.785	0.01
Te	hcp	-4.9304.E+03	4.088	4.088	4.362	0.01
I	fcc	-5.1539.E+03	5.195	5.195	5.195	0.01
Xe	fcc	-8.0734.E+03	6.200	6.200	6.200	0.01
Cs	bcc	-5.6559.E+03	6.110	6.110	6.110	0.01
Ba	bcc	-5.9327.E+03	5.030	5.030	5.030	0.01
La	hcp	-6.2286.E+03	3.753	3.753	7.352	0.01
Ce	fcc	-6.4125.E+03	4.720	4.720	4.720	0.01
Pr	dhcp	-6.5987.E+03	3.670	3.670	11.990	0.01
Nd	dhcp	-6.7875.E+03	3.660	3.660	11.950	0.01
Pm	dhcp	-6.9792.E+03	3.640	3.640	11.890	0.01
Sm	dhcp	-7.1739.E+03	3.620	3.620	11.820	0.01
Eu	bcc	-7.3718.E+03	4.639	4.639	4.639	0.01
Gd	hcp	-7.5728.E+03	3.614	3.614	5.770	0.5
Tb	hcp	-7.7771.E+03	3.640	3.640	5.664	0.5
Dy	hcp	-7.9847.E+03	3.627	3.627	5.616	0.5
Ho	hcp	-8.1957.E+03	3.609	3.609	5.578	0.5
Er	hcp	-8.4102.E+03	3.587	3.587	5.546	0.5
Tm	hcp	-8.6281.E+03	3.563	3.563	5.513	0.5
Yb	fcc	-8.7159.E+03	5.449	5.449	5.449	0.01
Lu	hcp	-9.0748.E+03	3.525	3.525	5.471	0.01
Hf	hcp	-9.4653.E+03	3.198	3.198	5.075	0.01
Ta	bcc	-1.6715.E+04	3.322	3.322	3.322	0.01
W	bcc	-1.0333.E+04	3.187	3.187	3.187	0.01
Re	hcp	-1.0814.E+04	2.781	2.781	4.497	0.01
Os	hcp	-1.1329.E+04	2.759	2.759	4.357	0.01
Ir	fcc	-9.8080.E+03	3.876	3.876	3.876	0.01
Pt	fcc	-1.0162.E+04	3.977	3.977	3.977	0.01
Au	fcc	-1.0543.E+04	4.171	4.171	4.171	0.01
Hg	hcp	-1.0952.E+04	3.580	3.580	5.735	0.01
Tl	hcp	-1.1383.E+04	3.549	3.549	5.738	0.01
Pb	fcc	-1.1841.E+04	5.051	5.051	5.051	0.01
Bi	bcc	-1.2328.E+04	3.988	3.988	3.988	0.01
Po	sc	-1.2845.E+04	3.360	3.360	3.360	0.01
At	sc	-1.3394.E+04	3.360	3.360	3.360	0.01
Rn	sc	-1.3974.E+04	6.400	6.400	6.400	0.01
Fr	bcc	-1.4580.E+04	6.050	6.050	6.050	0.01
Ra	bcc	-1.5216.E+04	6.050	6.050	6.050	0.01
Ac	fcc	-1.2755.E+04	5.662	5.662	5.662	0.01
Th	fcc	-1.3137.E+04	5.041	5.041	5.041	0.01
Pa	hcp	-1.3547.E+04	3.190	3.190	5.685	0.01
U	fcc	-1.3985.E+04	4.432	4.432	4.432	0.01
Np	fcc	-1.4454.E+04	4.353	4.353	4.353	0.01
Pu	fcc	-1.4956.E+04	4.788	4.788	4.788	0.01
