Element Structure Energy (eV/atom) a (A)  b (A)   c (A)					
H	hcp	-6.4912	3.9	3.9	6.36
He	fcc	-31.5284	4.43	4.43	4.43
Li	bcc	-2.8609	3.43	3.43	3.43
Be	hcp	-11.2116	2.26	2.26	3.57
B	hcp	-22.4771	2.88	2.88	1.78
C	hcp	-38.0644	2.15	2.15	3.52
N	hcp	-58.4297	2.52	2.52	2.45
O	sc	-84.043	3.43	3.43	3.43
F	sc	-115.3584	3	3	3
Ne	sc	-152.8208	4.43	4.43	4.43
Na	bcc	-2.728	4.17	4.17	4.17
Mg	hcp	-9.0767	3.2	3.2	5.13
Al	fcc	-17.6172	4.04	4.04	4.04
Si	dia	-29.1098	5.43	5.43	5.43
P	bcc	-44.2559	3.08	3.08	3.08
S	hcp	-62.5327	3.37	3.37	3.52
Cl	sc	-84.3479	3.6	3.6	3.6
Ar	fcc	-110.1848	5.26	5.26	5.26
K	bcc	-2.2907	4.76	4.76	7.59
Ca	fcc	-7.4867	5.51	5.51	5.51
Sc	hcp	-11.476	3.32	3.32	5.18
Ti	hcp	-17.3999	2.93	2.93	4.66
V	bcc	-25.8027	2.99	2.99	2.99
Cr	bcc	-18.495	3.62	3.62	3.62
Mn	bcc	-47.3913	2.8	2.8	2.8
Fe	bcc	-60.0399	2.84	2.84	2.84
Co	hcp	-73.8457	2.5	2.5	4.03
Ni	fcc	-88.7581	3.51	3.51	3.51
Cu	fcc	-54.98	3.62	3.62	3.62
Zn	hcp	-113.3823	2.63	2.63	5.21
Ga	dia	-20.442	4.51	4.51	4.51
Ge	dia	-31.2225	5.66	5.66	5.66
As	bcc	-44.545	3.37	3.37	3.37
Se	hcp	-60.5942	3.67	3.67	3.85
Br	bcc	-79.5425	3.76	3.76	3.76
Kr	fcc	-101.559	5.72	5.72	5.72
Rb	bcc	-2.1988	5.64	5.64	5.64
Sr	fcc	-7.0138	6.02	6.02	6.02
Y	hcp	-10.6676	3.66	3.66	5.67
Zr	hcp	-16.0403	3.24	3.24	5.17
Nb	bcc	-23.2399	3.32	3.32	3.32
Mo	bcc	-33.8979	3.17	3.17	3.17
Tc	hcp	-46.6249	2.76	2.76	4.42
Ru	hcp	-41.596	2.73	2.73	4.31
Rh	fcc	-53.4451	3.84	3.84	3.84
Pd	fcc	-40.4484	3.96	3.96	3.96
Ag	fcc	-78.8263	4.16	4.16	4.16
Cd	hcp	-128.6682	3.01	3.01	5.94
In 	hcp	-18.8987	3.42	3.42	5.58
Sn	bcc	-28.4445	3.81	3.81	3.81
Sb	bcc	-40.1045	3.79	3.79	3.79
Te	hcp	-53.9898	4.09	4.09	4.36
I	fcc	-70.2042	5.2	5.2	5.2
Xe	fcc	-88.8504	6.2	6.2	6.2
Cs	bcc	-2.0446	6.11	6.11	6.11
Ba	bcc	-6.4117	5.03	5.03	5.03
La	hcp	-10.3983	3.75	3.75	7.35
Lu	hcp	-10.9452	3.53	3.53	5.47
Hf	hcp	-15.5387	3.2	3.2	5.08
Ta	bcc	-21.6297	3.32	3.32	3.32
W	bcc	-29.3307	3.19	3.19	3.19
Re	hcp	-38.7185	2.78	2.78	4.5
Os	hcp	-50.1031	2.76	2.76	4.36
Ir	fcc	-64.415	3.88	3.88	3.88
Pt	fcc	-61.4556	3.98	3.98	3.98
Au	fcc	-74.5688	4.17	4.17	4.17
Hg	hcp	-13.5913	3.58	3.58	5.74
Tl	hcp	-21.3736	3.55	3.55	5.74
Pb	fcc	-30.9756	5.05	5.05	5.05
Bi	bcc	-42.5553	3.99	3.99	3.99
Po	sc	-56.1882	3.36	3.36	3.36
At	sc	-71.9433	3.36	3.36	3.36
Rn	sc	-89.8901	6.4	6.4	6.4

