Element Structure Energy (eV/atom) a (A)  b (A)   c (A)
H	hcp	-2.008	3.90	3.90	6.36
He	fcc	0.000	4.43	4.43	4.43
Li	bcc	-1.433	3.43	3.43	3.43
Be	hcp	-3.213	2.26	2.26	3.57
B	hcp	-7.153	2.88	2.88	1.78
C	hcp	-7.153	2.15	2.15	3.52
N	hcp	-4.663	2.52	2.52	2.45
O	sc	-2.341	3.43	3.43	3.43
F	sc	0.000	3.00	3.00	3.00
Ne	sc	0.000	4.43	4.43	4.43
Na	bcc	-0.913	4.17	4.17	4.17
Mg	hcp	-1.333	3.20	3.20	5.13
Al	fcc	-3.363	4.04	4.04	4.04
Si	dia	-4.413	5.43	5.43	5.43
P	bcc	0.000	3.08	3.08	3.08
S	sc	-2.007	3.37	3.37	3.52
Cl	sc	0.000	3.60	3.60	3.60
Ar	fcc	0.000	5.26	5.26	5.26
K	bcc	-0.724	4.76	4.76	7.59
Ca	fcc	0.217	5.51	5.51	5.51
Sc	hcp	-3.673	3.32	3.32	5.18
Ti	hcp	-4.653	2.93	2.93	4.66
V	bcc	-5.083	2.99	2.99	2.99
Cr	bcc	-3.883	3.62	3.62	3.62
Mn	bcc	0.000	2.80	2.80	2.80
Fe	bcc	-4.073	2.84	2.84	2.84
Co	hcp	-4.193	2.50	2.50	4.03
Ni	fcc	-4.233	3.51	3.51	3.51
Cu	fcc	-3.323	3.62	3.62	3.62
Zn	hcp	-1.333	2.63	2.63	5.21
Ga	dia	-2.680	4.51	4.51	4.51
Ge	dia	-3.633	5.66	5.66	5.66
As	sc	-2.617	3.37	3.37	3.37
Se	sc	-2.062	3.67	3.67	3.85
Br	bcc	-1.614	3.76	3.76	3.76
Kr	fcc	0.000	5.72	5.72	5.72
Rb	bcc	0.000	5.64	5.64	5.64
Sr	fcc	0.000	6.02	6.02	6.02
Y	hcp	-4.193	3.66	3.66	5.67
Zr	hcp	-6.143	3.24	3.24	5.17
Nb	bcc	-7.253	3.32	3.32	3.32
Mo	bcc	-6.593	3.17	3.17	3.17
Tc	hcp	0.000	2.76	2.76	4.42
Ru	hcp	-6.523	2.73	2.73	4.31
Rh	fcc	-5.533	3.84	3.84	3.84
Pd	fcc	-3.693	3.96	3.96	3.96
Ag	fcc	-2.633	4.16	4.16	4.16
Cd	hcp	0.000	3.01	3.01	5.94
In	hcp	-2.293	3.42	3.42	5.58
Sn	bcc	-2.863	3.81	3.81	3.81
Sb	sc	-1.913	3.79	3.79	3.79
Te	sc	-1.927	4.09	4.09	4.36
I	fcc	-0.424	5.20	5.20	5.20
Xe	fcc	0.000	6.20	6.20	6.20
Cs	bcc	0.000	6.11	6.11	6.11
Ba	bcc	-1.683	5.03	5.03	5.03
La	hcp	-4.253	3.75	3.75	7.35
Ce	fcc	0.000	4.72	4.72	4.72
Pr	hcp	-3.454	3.67	3.67	11.99
Nd	hcp	-3.143	3.66	3.66	11.95
Pm	fcc	-2.869	3.64	3.64	11.89
Sm	hcp	-1.923	3.62	3.62	11.82
Eu	bcc	-1.643	4.64	4.64	4.64
Gd	hcp	-3.963	3.61	3.61	5.77
Tb	hcp	-3.633	3.64	3.64	5.66
Dy	hcp	-2.463	3.63	3.63	5.62
Ho	hcp	-2.583	3.61	3.61	5.58
Er	hcp	-2.823	3.59	3.59	5.55
Tm	hcp	-2.203	3.56	3.56	5.51
Yb	fcc	-1.383	5.45	5.45	5.45
Lu	hcp	-4.213	3.53	3.53	5.47
Hf	hcp	-6.133	3.20	3.20	5.08
Ta	bcc	-7.872	3.32	3.32	3.32
W	bcc	-8.443	3.19	3.19	3.19
Re	hcp	-7.873	2.78	2.78	4.50
Os	hcp	-7.953	2.76	2.76	4.36
Ir	fcc	-6.713	3.88	3.88	3.88
Pt	fcc	-5.553	3.98	3.98	3.98
Au	fcc	-3.713	4.17	4.17	4.17
Hg	hcp	-0.453	3.58	3.58	5.74
Tl	hcp	-1.653	3.55	3.55	5.74
Pb	fcc	-1.823	5.05	5.05	5.05
Bi	bcc	0.000	3.99	3.99	3.99
Po	sc	0.000	3.36	3.36	3.36
At	sc	0.000	3.36	3.36	3.36
Rn	sc	0.000	6.40	6.40	6.40
Fr	bcc	0.000	6.05	6.05	6.05
Ra	bcc	0.000	6.05	6.05	6.05
Ac	fcc	-4.033	5.66	5.66	5.66
Th	fcc	-5.983	5.04	5.04	5.04
Pa	fcc	-4.827	3.19	3.19	5.69
U	fcc	-5.180	4.43	4.43	4.43
Np	fcc	-4.513	4.35	4.35	4.35
Pu	fcc	-3.583	4.79	4.79	4.79
Am	dhcp	0.000	3.52	3.52	11.50
Cm	dhcp	0.000	3.50	3.50	11.43
Bk	dhcp	0.000	3.48	3.48	11.37
Cf	dhcp	0.000	3.46	3.46	11.30
Es	dhcp	0.000	3.44	3.44	11.23
Fm	dhcp	0.000	3.42	3.42	11.17
Md	dhcp	0.000	3.40	3.40	11.10
No	dhcp	0.000	3.38	3.38	11.04
Lr	dhcp	0.000	3.36	3.36	10.97
