H	hcp	-10.7072	3.90	3.90	6.36
He	fcc	-47.4329	4.43	4.43	4.43
Li	bcc	-4.901	3.43	3.43	3.43
Be	hcp	-15.4863	2.26	2.26	3.57
B	hcp	-25.8678	2.88	2.88	1.78
C	hcp	-48.7487	2.15	2.15	3.52
N	hcp	-70.9081	2.52	2.52	2.45
O	sc	-102.4724	3.43	3.43	3.43
F	sc	-125.6493	3.00	3.00	3.00
Ne	sc	-161.4238	4.43	4.43	4.43
Na	bcc	-4.553	4.17	4.17	4.17
Mg	hcp	-12.6803	3.20	3.20	5.13
Al	fcc	-24.5863	4.04	4.04	4.04
Si	dia	-42.6621	5.43	5.43	5.43
P	bcc	-64.6048	3.08	3.08	3.08
S	hcp	-85.5702	3.37	3.37	3.52
Cl	sc	-121.9264	3.60	3.60	3.60
Ar	fcc	-116.4387	5.26	5.26	5.26
K	bcc	-4.5206	4.76	4.76	7.59
Ca	fcc	-10.1151	5.51	5.51	5.51
Sc	hcp	-23.1801	3.32	3.32	5.18
Ti	hcp	-37.0713	2.93	2.93	4.66
V	bcc	-46.6018	2.99	2.99	2.99
Cr	bcc	-47.3784	3.62	3.62	3.62
Mn	bcc	-71.1193	2.80	2.80	2.80
Fe	bcc	-80.0574	2.84	2.84	2.84
Co	hcp	-95.3603	2.50	2.50	4.03
Ni	fcc	-127.0321	3.51	3.51	3.51
Cu	fcc	-101.9887	3.62	3.62	3.62
Zn	hcp	-14.3548	2.63	2.63	5.21
Ga	dia	-29.3696	4.51	4.51	4.51
Ge	dia	-49.1515	5.66	5.66	5.66
As	bcc	-60.8393	3.37	3.37	3.37
Se	hcp	-84.8128	3.67	3.67	3.85
Br	bcc	-110.1117	3.76	3.76	3.76
Kr	fcc	-116.2432	5.72	5.72	5.72
Rb	bcc	-4.3706	5.64	5.64	5.64
Sr	fcc	-12.587	6.02	6.02	6.02
Y	hcp	-32.4512	3.66	3.66	5.67
Zr	hcp	-35.537	3.24	3.24	5.17
Nb	bcc	-48.3185	3.32	3.32	3.32
Mo	bcc	-48.3887	3.17	3.17	3.17
Tc	hcp	-67.3882	2.76	2.76	4.42
Ru	hcp	-82.0569	2.73	2.73	4.31
Rh	fcc	-105.9464	3.84	3.84	3.84
Pd	fcc	-119.9984	3.96	3.96	3.96
Ag	fcc	-103.9951	4.16	4.16	4.16
Cd	hcp	-14.505	3.01	3.01	5.94
In 	hcp	-30.5896	3.42	3.42	5.58
Sn	bcc	-54.6755	3.81	3.81	3.81
Sb	bcc	-58.7933	3.79	3.79	3.79
Te	hcp	-81.7831	4.09	4.09	4.36
I	fcc	-102.7999	5.20	5.20	5.20
Xe	fcc	-105.678	6.20	6.20	6.20
Cs	bcc	-4.057	6.11	6.11	6.11
Ba	bcc	-11.8071	5.03	5.03	5.03
La	hcp	-32.7239	3.75	3.75	7.35
Ce	fcc	-24.4127	4.72	4.72	4.72
Pr	dhcp	-24.25	3.67	3.67	11.99
Nd	dhcp	-24.0823	3.66	3.66	11.95
Pm	dhcp	-23.915	3.64	3.64	11.89
Sm	dhcp	-23.7477	3.62	3.62	11.82
Eu	bcc	-23.5805	4.64	4.64	4.64
Gd	hcp	-23.4116	3.61	3.61	5.77
Tb	hcp	-23.2459	3.64	3.64	5.66
Dy	hcp	-23.0785	3.63	3.63	5.62
Ho	hcp	-22.9114	3.61	3.61	5.58
Er	hcp	-22.7442	3.59	3.59	5.55
Tm	hcp	-22.577	3.56	3.56	5.51
Yb	fcc	-22.4099	5.45	5.45	5.45
Lu	hcp	-22.2419	3.53	3.53	5.47
Hf	hcp	-35.5734	3.20	3.20	5.08
Ta	bcc	-51.682	3.32	3.32	3.32
W	bcc	-60.1021	3.19	3.19	3.19
Re	hcp	-81.6795	2.78	2.78	4.50
Os	hcp	-83.4261	2.76	2.76	4.36
Ir	fcc	-99.1214	3.88	3.88	3.88
Pt	fcc	-120.7497	3.98	3.98	3.98
Au	fcc	-103.4748	4.17	4.17	4.17
Hg	hcp	-23.0764	3.58	3.58	5.74
Tl	hcp	-39.1	3.55	3.55	5.74
Pb	fcc	-59.8987	5.05	5.05	5.05
Bi	bcc	-61.5806	3.99	3.99	3.99
Po	sc	-74.3189	3.36	3.36	3.36
At	sc	-81.6	3.36	3.36	3.36
Rn	sc	-104.9788	6.40	6.40	6.40
