Element Structure Energy (eV/atom) a (A)  b (A)   c (A)					
H	hcp	-10.9235	3.90	3.90	6.36
He	fcc	-44.242	4.43	4.43	4.43
Li	bcc	-7.2717	3.43	3.43	3.43
Be	hcp	-19.0831	2.26	2.26	3.57
B	hcp	-32.6008	2.88	2.88	1.78
C	hcp	-47.28	2.15	2.15	3.52
N	hcp	-78.784	2.52	2.52	2.45
O	sc	-118.343	3.43	3.43	3.43
F	sc	-135.9244	3.00	3.00	3.00
Ne	sc	-171.9488	4.43	4.43	4.43
Na	bcc	-4.7266	4.17	4.17	4.17
Mg	hcp	-19.9423	3.20	3.20	5.13
Al	fcc	-29.2739	4.04	4.04	4.04
Si	dia	-44.1271	5.43	5.43	5.43
P	bcc	-65.8907	3.08	3.08	3.08
S	hcp	-96.1187	3.37	3.37	3.52
Cl	sc	-113.323	3.60	3.60	3.60
Ar	fcc	-167.2683	5.26	5.26	5.26
K	bcc	-5.8648	4.76	4.76	7.59
Ca	fcc	-15.9603	5.51	5.51	5.51
Sc	hcp	-26.4391	3.32	3.32	5.18
Ti	hcp	-31.132	2.93	2.93	4.66
V	bcc	-38.0335	2.99	2.99	2.99
Cr	bcc	-44.0676	3.62	3.62	3.62
Mn	bcc	-55.5731	2.80	2.80	2.80
Fe	bcc	-77.3985	2.84	2.84	2.84
Co	hcp	-92.5618	2.50	2.50	4.03
Ni	fcc	-108.2563	3.51	3.51	3.51
Cu	fcc	-119.4824	3.62	3.62	3.62
Zn	hcp	-22.5271	2.63	2.63	5.21
Ga	dia	-31.4063	4.51	4.51	4.51
Ge	dia	-41.1884	5.66	5.66	5.66
As	bcc	-59.8488	3.37	3.37	3.37
Se	hcp	-87.596	3.67	3.67	3.85
Br	bcc	-103.8449	3.76	3.76	3.76
Kr	fcc	-131.761	5.72	5.72	5.72
Rb	bcc	-7.7213	5.64	5.64	5.64
Sr	fcc	-13.6835	6.02	6.02	6.02
Y	hcp	-23.2297	3.66	3.66	5.67
Zr	hcp	-27.0804	3.24	3.24	5.17
Nb	bcc	-46.2578	3.32	3.32	3.32
Mo	bcc	-48.1867	3.17	3.17	3.17
Tc	hcp	-60.1505	2.76	2.76	4.42
Ru	hcp	-87.4418	2.73	2.73	4.31
Rh	fcc	-106.4611	3.84	3.84	3.84
Pd	fcc	-119.918	3.96	3.96	3.96
Ag	fcc	-102.407	4.16	4.16	4.16
Cd	hcp	-24.1988	3.01	3.01	5.94
In 	hcp	-38.425	3.42	3.42	5.58
Sn	bcc	-63.6103	3.81	3.81	3.81
Sb	bcc	-63.9095	3.79	3.79	3.79
Te	hcp	-99.9042	4.09	4.09	4.36
I	fcc	-105.6877	5.20	5.20	5.20
Xe	fcc	-115.1642	6.20	6.20	6.20
Cs	bcc	-6.5755	6.11	6.11	6.11
Ba	bcc	-12.9114	5.03	5.03	5.03
La	hcp	-18.8763	3.75	3.75	7.35
Ce	fcc	-17.5834	4.72	4.72	4.72
Pr	dhcp	-17.4915	3.67	3.67	11.99
Nd	dhcp	-17.3955	3.66	3.66	11.95
Pm	dhcp	-17.2998	3.64	3.64	11.89
Sm	dhcp	-17.2041	3.62	3.62	11.82
Eu	bcc	-17.1085	4.64	4.64	4.64
Gd	hcp	-17.0115	3.61	3.61	5.77
Tb	hcp	-16.917	3.64	3.64	5.66
Dy	hcp	-16.8212	3.63	3.63	5.62
Ho	hcp	-16.7258	3.61	3.61	5.58
Er	hcp	-16.6302	3.59	3.59	5.55
Tm	hcp	-16.5346	3.56	3.56	5.51
Yb	fcc	-16.4391	5.45	5.45	5.45
Lu	hcp	-16.3428	3.53	3.53	5.47
Hf	hcp	-20.5437	3.20	3.20	5.08
Ta	bcc	-45.9093	3.32	3.32	3.32
W	bcc	-53.9863	3.19	3.19	3.19
Re	hcp	-54.4569	2.78	2.78	4.50
Os	hcp	-85.7296	2.76	2.76	4.36
Ir	fcc	-107.5288	3.88	3.88	3.88
Pt	fcc	-115.6208	3.98	3.98	3.98
Au	fcc	-106.177	4.17	4.17	4.17
Hg	hcp	-24.9055	3.58	3.58	5.74
Tl	hcp	-30.2585	3.55	3.55	5.74
Pb	fcc	-40.6905	5.05	5.05	5.05
Bi	bcc	-56.6073	3.99	3.99	3.99
Po	sc	-83.3755	3.36	3.36	3.36
At	sc	-93.6602	3.36	3.36	3.36
Rn	sc	-98.1832	6.40	6.40	6.40
