Element Pesudo-potnetial https://pseudopotentials.quantum-espresso.org/upf_files/
Sn	Sn.pbe-dn-kjpaw_psl.1.0.0.UPF
Sb	Sb.pbe-n-kjpaw_psl.1.0.0.UPF
Te	Te.pbe-n-kjpaw_psl.1.0.0.UPF
I	I.pbe-n-kjpaw_psl.1.0.0.UPF
Xe	Xe.pbe-dn-kjpaw_psl.1.0.0.UPF
Cs	Cs.pbe-spn-kjpaw_psl.1.0.0.UPF
Ba	Ba.pbe-spn-kjpaw_psl.1.0.0.UPF
La	La.pbe-spfn-kjpaw_psl.1.0.0.UPF
Ce	Ce.pbe-spdn-kjpaw_psl.1.0.0.UPF
Pr	Pr.pbe-spdn-kjpaw_psl.1.0.0.UPF
Nd	Nd.pbe-spdn-kjpaw_psl.1.0.0.UPF
Pm	Pm.pbe-spdn-kjpaw_psl.1.0.0.UPF
Sm	Sm.pbe-spdn-kjpaw_psl.1.0.0.UPF
Eu	Eu.pbe-spdn-kjpaw_psl.1.0.0.UPF
Gd	Gd.pbe-spdn-kjpaw_psl.1.0.0.UPF
Tb	Tb.pbe-spdn-kjpaw_psl.1.0.0.UPF
Dy	Dy.pbe-spdn-kjpaw_psl.1.0.0.UPF
Ho	Ho.pbe-spdn-kjpaw_psl.1.0.0.UPF
Er	Er.pbe-spdn-kjpaw_psl.1.0.0.UPF
Tm	Tm.pbe-spdn-kjpaw_psl.1.0.0.UPF
Yb	Yb.pbe-spn-kjpaw_psl.1.0.0.UPF
Lu	Lu.pbe-spdn-kjpaw_psl.1.0.0.UPF
Hf	Hf.pbe-spn-kjpaw_psl.1.0.0.UPF
Ta	Ta.pbe-spfn-kjpaw_psl.1.0.0.UPF
W	W.pbe-spn-kjpaw_psl.1.0.0.UPF
Re	Re.pbe-spn-kjpaw_psl.1.0.0.UPF
Os	Os.pbe-spn-kjpaw_psl.1.0.0.UPF
Ir	Ir.pbe-n-kjpaw_psl.0.2.3.UPF
Pt	Pt.pbe-n-kjpaw_psl.1.0.0.UPF
Au	Au.pbe-n-kjpaw_psl.1.0.0.UPF
Hg	Hg.pbe-n-kjpaw_psl.1.0.0.UPF
Tl	Tl.pbe-dn-kjpaw_psl.1.0.0.UPF
Pb	Pb.pbe-dn-kjpaw_psl.1.0.0.UPF
