Element Structure Energy (eV/atom) a (A)  b (A)   c (A)
H	hcp	-10.7072	3.900	3.900	6.356
He	fcc	-47.4329	4.430	4.430	4.430
Li	bcc	-4.9010	3.427	3.427	3.427
Be	hcp	-15.4863	2.260	2.260	3.570
B	hcp	-25.8678	2.876	2.876	1.782
C	hcp	-48.7487	2.154	2.154	3.524
N	hcp	-70.9081	2.519	2.519	2.446
O	sc	-102.4724	3.430	3.430	3.430
F	sc	-125.6493	3.000	3.000	3.000
Ne	sc	-161.4238	4.430	4.430	4.430
Na	bcc	-4.5530	4.173	4.173	4.173
Mg	hcp	-12.6803	3.203	3.203	5.127
Al	fcc	-24.5863	4.039	4.039	4.039
Si	dia	-42.6621	5.430	5.430	5.430
P	bcc	-64.6048	3.076	3.076	3.076
S	hcp	-85.5702	3.365	3.365	3.516
Cl	sc	-121.9264	3.600	3.600	3.600
Ar	fcc	-116.4387	5.260	5.260	5.260
K	bcc	-4.5206	4.758	4.758	7.587
Ca	fcc	-10.1151	5.507	5.507	5.507
Sc	hcp	-23.1801	3.319	3.319	5.178
Ti	hcp	-37.0713	2.934	2.934	4.657
V	bcc	-46.6018	2.993	2.993	2.993
Cr	bcc	-47.3784	3.621	3.621	3.621
Mn	bcc	-71.1193	2.799	2.799	2.799
Fe	bcc	-80.0574	2.840	2.840	2.840
Co	hcp	-95.3603	2.501	2.501	4.033
Ni	fcc	-127.0321	3.506	3.506	3.506
Cu	fcc	-101.9887	3.621	3.621	3.621
Zn	hcp	-14.3548	2.627	2.627	5.207
Ga	dia	-29.3696	4.510	4.510	4.510
Ge	dia	-49.1515	5.660	5.660	5.660
As	bcc	-60.8393	3.368	3.368	3.368
Se	hcp	-84.8128	3.666	3.666	3.846
Br	bcc	-110.1117	3.761	3.761	3.761
Kr	fcc	-116.2432	5.720	5.720	5.720
Rb	bcc	-4.3706	5.644	5.644	5.644
Sr	fcc	-12.5870	6.023	6.023	6.023
Y	hcp	-32.4512	3.659	3.659	5.666
Zr	hcp	-35.5370	3.239	3.239	5.172
Nb	bcc	-48.3185	3.321	3.321	3.321
Mo	bcc	-48.3887	3.168	3.168	3.168
Tc	hcp	-67.3882	2.761	2.761	4.421
Ru	hcp	-82.0569	2.733	2.733	4.314
Rh	fcc	-105.9464	3.844	3.844	3.844
Pd	fcc	-119.9984	3.957	3.957	3.957
Ag	fcc	-103.9951	4.161	4.161	4.161
Cd	hcp	-14.5050	3.008	3.008	5.942
In 	hcp	-30.5896	3.423	3.423	5.576
Sn	bcc	-54.6755	3.809	3.809	3.809
Sb	bcc	-58.7933	3.785	3.785	3.785
Te	hcp	-81.7831	4.088	4.088	4.362
I	fcc	-102.7999	5.195	5.195	5.195
Xe	fcc	-105.6780	6.200	6.200	6.200
Cs	bcc	-4.0570	6.110	6.110	6.110
Ba	bcc	-11.8071	5.030	5.030	5.030
La	hcp	-32.7239	3.753	3.753	7.352
Ce	fcc	-24.4127	4.720	4.720	4.720
Pr	dhcp	-24.2500	3.670	3.670	11.990
Nd	dhcp	-24.0823	3.660	3.660	11.950
Pm	dhcp	-23.9150	3.640	3.640	11.890
Sm	dhcp	-23.7477	3.620	3.620	11.820
Eu	bcc	-23.5805	4.639	4.639	4.639
Gd	hcp	-23.4116	3.614	3.614	5.770
Tb	hcp	-23.2459	3.640	3.640	5.664
Dy	hcp	-23.0785	3.627	3.627	5.616
Ho	hcp	-22.9114	3.609	3.609	5.578
Er	hcp	-22.7442	3.587	3.587	5.546
Tm	hcp	-22.5770	3.563	3.563	5.513
Yb	fcc	-22.4099	5.449	5.449	5.449
Lu	hcp	-22.2419	3.525	3.525	5.471
Hf	hcp	-35.5734	3.198	3.198	5.075
Ta	bcc	-51.6820	3.322	3.322	3.322
W	bcc	-60.1021	3.187	3.187	3.187
Re	hcp	-81.6795	2.781	2.781	4.497
Os	hcp	-83.4261	2.759	2.759	4.357
Ir	fcc	-99.1214	3.876	3.876	3.876
Pt	fcc	-120.7497	3.977	3.977	3.977
Au	fcc	-103.4748	4.171	4.171	4.171
Hg	hcp	-23.0764	3.580	3.580	5.735
Tl	hcp	-39.1000	3.549	3.549	5.738
Pb	fcc	-59.8987	5.051	5.051	5.051
Bi	bcc	-61.5806	3.988	3.988	3.988
Po	sc	-74.3189	3.360	3.360	3.360
At	sc	-81.6000	3.360	3.360	3.360
Rn	sc	-104.9788	6.400	6.400	6.400
